Tab,Ticker,Sector,Current Price,52-Week High,RSI,P/E Ratio,PEG,P/S Ratio,PSG,Market Cap,Target Price,Graham Undervalued,Upside %,Revenue Growth %,EPS Growth %,Gross Margin %,Net Profit Margin %,Debt/Equity,Beta,Insider Ownership %,Institutional Ownership %,Analyst Recom,Short Interest,Short Float %,Investment Score
Investment Master,AGI,Basic Materials,36.34,55.41,43.76,14.45,0.24,7.36,0.09,15261350000,54.27,False,49.34,79.19,1164.07,58.6,51.24,0.05,0.54,0.36,60.71,1.0,7.77,1.86,86.9
Investment Master,GAU,Basic Materials,2.2,3.62,48.29,20.45,0.04,1.07,0.01,574660000,4.57,False,107.73,117.42,216.31,47.94,5.62,0.13,0.82,2.08,63.98,1.4,2.73,1.07,86.8
Investment Master,CRMD,Healthcare,8.67,17.43,59.29,4.13,,1.7,0.01,680180000,15.2,True,75.32,226.05,38.69,85.83,45.25,0.33,1.46,7.88,52.86,1.0,14.55,20.14,86.7
Investment Master,PLTR,Technology,128.47,207.51,41.25,144.74,1.03,58.95,0.7,307982710000,189.87,False,47.79,84.71,304.06,84.07,43.67,0.03,1.56,8.51,57.85,2.0,69.19,3.16,86.3
Investment Master,AGEN,Healthcare,3.0,7.34,40.29,1.8,,1.01,0.03,124930000,15.5,,416.67,40.18,198.88,93.33,51.98,,1.56,9.26,19.75,1.0,5.46,14.46,86.1
Investment Master,NVDA,Technology,210.69,236.54,50.38,32.27,0.37,20.11,0.24,5098698060000,310.62,False,47.43,85.23,213.42,74.15,62.97,0.07,2.2,4.09,70.28,1.25,284.72,1.23,86.1
Investment Master,ONDS,Technology,9.27,15.28,43.28,46.3,,49.63,0.05,4794430000,20.12,False,117.04,1079.85,496.37,31.18,140.68,0.02,2.7,2.07,38.78,1.0,161.12,31.81,85.9
Investment Master,FIGR,Financial,28.55,78.01,39.13,43.31,0.56,12.05,0.17,6295730000,52.6,False,84.24,72.52,582.72,82.61,27.12,1.02,,46.34,38.36,1.8,9.18,7.76,84.5
Investment Master,LPG,Energy,39.56,48.12,42.94,8.72,,3.51,0.03,1692480000,50.0,True,26.39,101.97,900.32,54.1,40.22,0.62,0.72,14.4,68.73,1.75,1.59,4.34,84.1
Investment Master,ASND,Healthcare,230.83,250.74,54.44,26.01,,14.26,0.08,14336850000,294.73,False,27.68,171.53,787.72,87.35,57.88,1.84,0.38,0.89,102.03,1.1,1.72,2.79,84.0
Investment Master,IMPP,Energy,4.89,6.57,43.39,3.16,,1.15,0.01,218330000,9.0,True,84.05,92.3,72.51,34.12,34.05,0.0,1.23,30.31,31.2,1.0,3.5,11.23,84.0
Investment Master,ATCH,Financial,0.21,1.91,44.66,,,1.95,0.03,31750000,1.0,,376.19,65.23,98.96,71.79,16.82,0.68,0.96,9.27,5.79,1.0,10.17,7.46,83.7
Investment Master,EBC,Financial,20.6,22.58,56.27,11.52,0.52,3.38,0.0,4761550000,23.31,True,13.16,1206.82,126.85,,26.37,0.19,0.69,7.71,74.12,1.25,8.42,3.95,82.6
Investment Master,SUNS,Real Estate,8.46,11.78,53.95,8.49,,3.61,0.03,114360000,11.12,True,31.44,122.24,14.41,87.1,41.82,0.76,1.11,28.46,31.07,1.5,0.53,5.48,82.2
Investment Master,TXMD,Healthcare,1.95,2.95,44.0,126.62,,6.74,0.08,22570000,5.0,False,156.41,84.22,114.51,57.56,5.34,0.22,0.57,6.87,33.96,3.0,0.05,0.48,82.1
